THIS LINE WILL NOT BE READ, DO NOT DELETE
"s","NN","NN"
"s","VB","VB"
"es","NN","NN"
"es","VB","VB"
"ing","VB","VB"
"ing","NN","VB"
"ing","VB","VBG"
"ly","VB","RB"
"ly","JJ","RB"
"er","JJ","JJ"
"er","VB","NN"
"or","VB","NN"
"ion","VB","NN"
"tion","VB","NN"
"ation","VB","NN"
"ition","VB","NN"
"ible","VB","JJ"
"able","VB","JJ"
"y","NN","JJ"
"ness","JJ","NN"
"ity","JJ","NN"
"ty","JJ","NN"
"ment","VB","NN"
"ous","NN","JJ"
"eous","NN","JJ"
"ious","NN","JJ"
"en","NN","VB"
"er","JJ","JJ"
"ive","NN","JJ"
"ative","NN","JJ"
"itive","NN","JJ"
"ful","NN","JJ"
"less","NN","JJ"
"est","JJ","JJ"
